Referencia;Modelo;PVP
A3191010N;BLACK FOSTER REC 1 2700K N;50,85
A3191011N;BLACK FOSTER REC 1 3000K N;50,85
A3191012N;BLACK FOSTER REC 1 4000K N;50,85
A3191040N;BLACK FOSTER REC 1 DIM DALI 2700K N;100,84
A3191041N;BLACK FOSTER REC 1 DIM DALI 3000K N;100,84
A3191042N;BLACK FOSTER REC 1 DIM DALI 4000K N;100,84
A3192010N;BLACK FOSTER REC 2 2700K N;80,37
A3192011N;BLACK FOSTER REC 2 3000K N;80,37
A3192012N;BLACK FOSTER REC 2 4000K N;80,37
A3192020N;BLACK FOSTER REC 2 DIM PUSH 2700K N;124,5
A3192021N;BLACK FOSTER REC 2 DIM PUSH 3000K N;124,5
A3192022N;BLACK FOSTER REC 2 DIM PUSH 4000K N;124,5
A3192030N;BLACK FOSTER REC 2 DIM 1/10V 2700K N;124,5
A3192031N;BLACK FOSTER REC 2 DIM 1/10V 3000K N;124,5
A3192032N;BLACK FOSTER REC 2 DIM 1/10V 4000K N;124,5
A3192040N;BLACK FOSTER REC 2 DIM DALI 2700K N;130,06
A3192041N;BLACK FOSTER REC 2 DIM DALI 3000K N;130,06
A3192042N;BLACK FOSTER REC 2 DIM DALI 4000K N;130,06
A3193010N;BLACK FOSTER REC 3 2700K N;89,04
A3193011N;BLACK FOSTER REC 3 3000K N;89,04
A3193012N;BLACK FOSTER REC 3 4000K N;89,04
A3193020N;BLACK FOSTER REC 3 DIM PUSH 2700K N;132,67
A3193021N;BLACK FOSTER REC 3 DIM PUSH 3000K N;132,67
A3193022N;BLACK FOSTER REC 3 DIM PUSH 4000K N;132,67
A3193030N;BLACK FOSTER REC 3 DIM 1/10V 2700K N;132,67
A3193031N;BLACK FOSTER REC 3 DIM 1/10V 3000K N;132,67
A3193032N;BLACK FOSTER REC 3 DIM 1/10V 4000K N;132,67
A3193040N;BLACK FOSTER REC 3 DIM DALI 2700K N;138,23
A3193041N;BLACK FOSTER REC 3 DIM DALI 3000K N;138,23
A3193042N;BLACK FOSTER REC 3 DIM DALI 4000K N;138,23
A3194010N;BLACK FOSTER REC 5 2700K N;108,63
A3194011N;BLACK FOSTER REC 5 3000K N;108,63
A3194012N;BLACK FOSTER REC 5 4000K N;108,63
A3194020N;BLACK FOSTER REC 5 DIM PUSH 2700K N;151,5
A3194021N;BLACK FOSTER REC 5 DIM PUSH 3000K N;151,5
A3194022N;BLACK FOSTER REC 5 DIM PUSH 4000K N;151,5
A3194030N;BLACK FOSTER REC 5 DIM 1/10V 2700K N;151,5
A3194031N;BLACK FOSTER REC 5 DIM 1/10V 3000K N;151,5
A3194032N;BLACK FOSTER REC 5 DIM 1/10V 4000K N;151,5
A3194040N;BLACK FOSTER REC 5 DIM DALI 2700K N;157,06
A3194041N;BLACK FOSTER REC 5 DIM DALI 3000K N;157,06
A3194042N;BLACK FOSTER REC 5 DIM DALI 4000K N;157,06
A3181010N;BLACK FOSTER TRI 1 2700K N;73,43
A3181011N;BLACK FOSTER TRI 1 3000K N;73,43
A3181012N;BLACK FOSTER TRI 1 4000K N;73,43
A3181040N;BLACK FOSTER TRI 1 DIM DALI 2700K N;125,4
A3181041N;BLACK FOSTER TRI 1 DIM DALI 3000K N;125,4
A3181042N;BLACK FOSTER TRI 1 DIM DALI 4000K N;125,4
A3182010N;BLACK FOSTER TRI 2 2700K N;103,48
A3182011N;BLACK FOSTER TRI 2 3000K N;103,48
A3182012N;BLACK FOSTER TRI 2 4000K N;103,48
A3182020N;BLACK FOSTER TRI 2 DIM PUSH 2700K N;149,58
A3182021N;BLACK FOSTER TRI 2 DIM PUSH 3000K N;149,58
A3182022N;BLACK FOSTER TRI 2 DIM PUSH 4000K N;149,58
A3182030N;BLACK FOSTER TRI 2 DIM 1/10V 2700K N;149,58
A3182031N;BLACK FOSTER TRI 2 DIM 1/10V 3000K N;149,58
A3182032N;BLACK FOSTER TRI 2 DIM 1/10V 4000K N;149,58
A3182040N;BLACK FOSTER TRI 2 DIM DALI 2700K N;155,58
A3182041N;BLACK FOSTER TRI 2 DIM DALI 3000K N;155,58
A3182042N;BLACK FOSTER TRI 2 DIM DALI 4000K N;155,58
A3183010N;BLACK FOSTER TRI 3 2700K N;113,31
A3183011N;BLACK FOSTER TRI 3 3000K N;113,31
A3183012N;BLACK FOSTER TRI 3 4000K N;113,31
A3183020N;BLACK FOSTER TRI 3 DIM PUSH 2700K N;159,06
A3183021N;BLACK FOSTER TRI 3 DIM PUSH 3000K N;159,06
A3183022N;BLACK FOSTER TRI 3 DIM PUSH 4000K N;159,06
A3183030N;BLACK FOSTER TRI 3 DIM 1/10V 2700K N;159,06
A3183031N;BLACK FOSTER TRI 3 DIM 1/10V 3000K N;159,06
A3183032N;BLACK FOSTER TRI 3 DIM 1/10V 4000K N;159,06
A3183040N;BLACK FOSTER TRI 3 DIM DALI 2700K N;165,06
A3183041N;BLACK FOSTER TRI 3 DIM DALI 3000K N;165,06
A3183042N;BLACK FOSTER TRI 3 DIM DALI 4000K N;165,06
A3184010N;BLACK FOSTER TRI 5 2700K N;131,23
A3184011N;BLACK FOSTER TRI 5 3000K N;131,23
A3184012N;BLACK FOSTER TRI 5 4000K N;131,23
A3184020N;BLACK FOSTER TRI 5 DIM PUSH 2700K N;176,34
A3184021N;BLACK FOSTER TRI 5 DIM PUSH 3000K N;176,34
A3184022N;BLACK FOSTER TRI 5 DIM PUSH 4000K N;176,34
A3184030N;BLACK FOSTER TRI 5 DIM 1/10V 2700K N;176,34
A3184031N;BLACK FOSTER TRI 5 DIM 1/10V 3000K N;176,34
A3184032N;BLACK FOSTER TRI 5 DIM 1/10V 4000K N;176,34
A3184040N;BLACK FOSTER TRI 5 DIM DALI 2700K N;182,34
A3184041N;BLACK FOSTER TRI 5 DIM DALI 3000K N;182,34
A3184042N;BLACK FOSTER TRI 5 DIM DALI 4000K N;182,34
A3185010N;BLACK FOSTER TRI 10 2700K N;224,5
A3185011N;BLACK FOSTER TRI 10 3000K N;224,5
A3185012N;BLACK FOSTER TRI 10 4000K N;224,5
A3185020N;BLACK FOSTER TRI 10 DIM PUSH 2700K N;247,38
A3185021N;BLACK FOSTER TRI 10 DIM PUSH 3000K N;247,38
A3185022N;BLACK FOSTER TRI 10 DIM PUSH 4000K N;247,38
A3185030N;BLACK FOSTER TRI 10 DIM 1/10V 2700K N;247,38
A3185031N;BLACK FOSTER TRI 10 DIM 1/10V 3000K N;247,38
A3185032N;BLACK FOSTER TRI 10 DIM 1/10V 4000K N;247,38
A3185040N;BLACK FOSTER TRI 10 DIM DALI 2700K N;253,38
A3185041N;BLACK FOSTER TRI 10 DIM DALI 3000K N;253,38
A3185042N;BLACK FOSTER TRI 10 DIM DALI 4000K N;253,38
A3186010N;BLACK FOSTER TRI 15 2700K N;286,91
A3186011N;BLACK FOSTER TRI 15 3000K N;286,91
A3186012N;BLACK FOSTER TRI 15 4000K N;286,91
A3186020N;BLACK FOSTER TRI 15 DIM PUSH 2700K N;345,36
A3186021N;BLACK FOSTER TRI 15 DIM PUSH 3000K N;345,36
A3186022N;BLACK FOSTER TRI 15 DIM PUSH 4000K N;345,36
A3186030N;BLACK FOSTER TRI 15 DIM 1/10V 2700K N;345,36
A3186031N;BLACK FOSTER TRI 15 DIM 1/10V 3000K N;345,36
A3186032N;BLACK FOSTER TRI 15 DIM 1/10V 4000K N;345,36
A3186040N;BLACK FOSTER TRI 15 DIM DALI 2700K N;345,36
A3186041N;BLACK FOSTER TRI 15 DIM DALI 3000K N;345,36
A3186042N;BLACK FOSTER TRI 15 DIM DALI 4000K N;345,36
A2680110G;SHOT LIGHT CRI 90 17º 2700K G;48,84
A2680110N;SHOT LIGHT CRI 90 17º 2700K N;45
A2680110R;SHOT LIGHT CRI 90 17º 2700K R;48,84
A2680110W;SHOT LIGHT CRI 90 17º 2700K W;45
A2680110WN;SHOT LIGHT CRI 90 17º 2700K WN;48,84
A2680110Z;SHOT LIGHT CRI 90 17º 2700K Z;48,84
A2680111G;SHOT LIGHT CRI 90 17º 3000K G;48,84
A2680111N;SHOT LIGHT CRI 90 17º 3000K N;45
A2680111R;SHOT LIGHT CRI 90 17º 3000K R;48,84
A2680111W;SHOT LIGHT CRI 90 17º 3000K W;45
A2680111WN;SHOT LIGHT CRI 90 17º 3000K WN;48,84
A2680111Z;SHOT LIGHT CRI 90 17º 3000K Z;48,84
A2680112G;SHOT LIGHT CRI 90 17º 4000K G;48,84
A2680112N;SHOT LIGHT CRI 90 17º 4000K N;45
A2680112R;SHOT LIGHT CRI 90 17º 4000K R;48,84
A2680112W;SHOT LIGHT CRI 90 17º 4000K W;45
A2680112WN;SHOT LIGHT CRI 90 17º 4000K WN;48,84
A2680112Z;SHOT LIGHT CRI 90 17º 4000K Z;48,84
A2680120G;SHOT LIGHT CRI 90 35º 2700K G;48,84
A2680120N;SHOT LIGHT CRI 90 35º 2700K N;45
A2680120R;SHOT LIGHT CRI 90 35º 2700K R;48,84
A2680120W;SHOT LIGHT CRI 90 35º 2700K W;45
A2680120WN;SHOT LIGHT CRI 90 35º 2700K WN;48,84
A2680120Z;SHOT LIGHT CRI 90 35º 2700K Z;48,84
A2680121G;SHOT LIGHT CRI 90 35º 3000K G;48,84
A2680121N;SHOT LIGHT CRI 90 35º 3000K N;45
A2680121R;SHOT LIGHT CRI 90 35º 3000K R;48,84
A2680121W;SHOT LIGHT CRI 90 35º 3000K W;45
A2680121WN;SHOT LIGHT CRI 90 35º 3000K WN;48,84
A2680121Z;SHOT LIGHT CRI 90 35º 3000K Z;48,84
A2680122G;SHOT LIGHT CRI 90 35º 4000K G;48,84
A2680122N;SHOT LIGHT CRI 90 35º 4000K N;45
A2680122R;SHOT LIGHT CRI 90 35º 4000K R;48,84
A2680122W;SHOT LIGHT CRI 90 35º 4000K W;45
A2680122WN;SHOT LIGHT CRI 90 35º 4000K WN;48,84
A2680122Z;SHOT LIGHT CRI 90 35º 4000K Z;48,84
A2690110G;SHOT LIGHT TRIMLESS CRI 90 17º 2700K G;48,84
A2690110N;SHOT LIGHT TRIMLESS CRI 90 17º 2700K N;45
A2690110R;SHOT LIGHT TRIMLESS CRI 90 17º 2700K R;48,84
A2690110W;SHOT LIGHT TRIMLESS CRI 90 17º 2700K W;45
A2690110Z;SHOT LIGHT TRIMLESS CRI 90 17º 2700K Z;48,84
A2690111G;SHOT LIGHT TRIMLESS CRI 90 17º 3000K G;48,84
A2690111N;SHOT LIGHT TRIMLESS CRI 90 17º 3000K N;45
A2690111R;SHOT LIGHT TRIMLESS CRI 90 17º 3000K R;48,84
A2690111W;SHOT LIGHT TRIMLESS CRI 90 17º 3000K W;45
A2690111Z;SHOT LIGHT TRIMLESS CRI 90 17º 3000K Z;48,84
A2690112G;SHOT LIGHT TRIMLESS CRI 90 17º 4000K G;48,84
A2690112N;SHOT LIGHT TRIMLESS CRI 90 17º 4000K N;45
A2690112R;SHOT LIGHT TRIMLESS CRI 90 17º 4000K R;48,84
A2690112W;SHOT LIGHT TRIMLESS CRI 90 17º 4000K W;45
A2690112Z;SHOT LIGHT TRIMLESS CRI 90 17º 4000K Z;48,84
A2690120G;SHOT LIGHT TRIMLESS CRI 90 35º 2700K G;48,84
A2690120N;SHOT LIGHT TRIMLESS CRI 90 35º 2700K N;45
A2690120R;SHOT LIGHT TRIMLESS CRI 90 35º 2700K R;48,84
A2690120W;SHOT LIGHT TRIMLESS CRI 90 35º 2700K W;45
A2690120Z;SHOT LIGHT TRIMLESS CRI 90 35º 2700K Z;48,84
A2690121G;SHOT LIGHT TRIMLESS CRI 90 35º 3000K G;48,84
A2690121N;SHOT LIGHT TRIMLESS CRI 90 35º 3000K N;45
A2690121R;SHOT LIGHT TRIMLESS CRI 90 35º 3000K R;48,84
A2690121W;SHOT LIGHT TRIMLESS CRI 90 35º 3000K W;45
A2690121Z;SHOT LIGHT TRIMLESS CRI 90 35º 3000K Z;48,84
A2690122G;SHOT LIGHT TRIMLESS CRI 90 35º 4000K G;48,84
A2690122N;SHOT LIGHT TRIMLESS CRI 90 35º 4000K N;45
A2690122R;SHOT LIGHT TRIMLESS CRI 90 35º 4000K R;48,84
A2690122W;SHOT LIGHT TRIMLESS CRI 90 35º 4000K W;45
A2690122Z;SHOT LIGHT TRIMLESS CRI 90 35º 4000K Z;48,84
A2970110N;SHOT LIGHT M 1 2700K N;52,39
A2970110W;SHOT LIGHT M 1 2700K W;52,39
A2970111N;SHOT LIGHT M 1 3000K N;52,39
A2970111W;SHOT LIGHT M 1 3000K W;52,39
A2970112N;SHOT LIGHT M 1 4000K N;52,39
A2970112W;SHOT LIGHT M 1 4000K W;52,39
A2970210N;SHOT LIGHT M 2 2700K N;61,34
A2970210W;SHOT LIGHT M 2 2700K W;61,34
A2970211N;SHOT LIGHT M 2 3000K N;61,34
A2970211W;SHOT LIGHT M 2 3000K W;61,34
A2970212N;SHOT LIGHT M 2 4000K N;61,34
A2970212W;SHOT LIGHT M 2 4000K W;61,34
A2970230N;SHOT LIGHT M 2 DIM DALI/PUSH 2700K N;104,78
A2970230W;SHOT LIGHT M 2 DIM DALI/PUSH 2700K W;104,78
A2970231N;SHOT LIGHT M 2 DIM DALI/PUSH 3000K N;104,78
A2970231W;SHOT LIGHT M 2 DIM DALI/PUSH 3000K W;104,78
A2970232N;SHOT LIGHT M 2 DIM DALI/PUSH 4000K N;104,78
A2970232W;SHOT LIGHT M 2 DIM DALI/PUSH 4000K W;104,78
A2980110N;SHOT LIGHT TRIMLESS M 1 2700K N;52,39
A2980110W;SHOT LIGHT TRIMLESS M 1 2700K W;52,39
A2980111N;SHOT LIGHT TRIMLESS M 1 3000K N;52,39
A2980111W;SHOT LIGHT TRIMLESS M 1 3000K W;52,39
A2980112N;SHOT LIGHT TRIMLESS M 1 4000K N;52,39
A2980112W;SHOT LIGHT TRIMLESS M 1 4000K W;52,39
A2980210N;SHOT LIGHT TRIMLESS M 2 2700K N;61,34
A2980210W;SHOT LIGHT TRIMLESS M 2 2700K W;61,34
A2980211N;SHOT LIGHT TRIMLESS M 2 3000K N;61,34
A2980211W;SHOT LIGHT TRIMLESS M 2 3000K W;61,34
A2980212N;SHOT LIGHT TRIMLESS M 2 4000K N;61,34
A2980212W;SHOT LIGHT TRIMLESS M 2 4000K W;61,34
A2980230N;SHOT LIGHT TRIMLESS M 2 DIM DALI/PUSH 2700K N;104,78
